Particle #,Steps,Kill Event,Charge,Starting Global x-Position (mm),Starting Global y-Position (mm),Starting Global z-Position (mm),Ending Calorimeter x-Position (mm),Ending Calorimeter y-Position (mm),Starting Momentum (GeV/c),Ending Momentum (GeV/c),Delta Momentum (GeV/c),Steps Inside Short Quad,Distance Inside Short Quad (cm),Total # of Photons Released,# of Detectable Photons Released,Steps Inside Long Quad,Distance Inside Long Quad (cm),Total # of Photons Released,# of Detectable Photons Released,Steps Inside Standoff Plate,Distance Inside Standoff Plate (cm),Total # of Photons Released,# of Detectable Photons Released,Steps Inside HV Standoff,Distance Inside HV Standoff (cm),Total # of Photons Released,# of Detectable Photons Released,Steps Inside HV Standoff Screws,Distance Inside HV Standoff Screws (cm),Total # of Photons Released,# of Detectable Photons Released,dt,Pair Produced,Kill Timestamp,x Calorimeter Angle,y Calorimeter Angle,Total Calorimeter Angle
0,5478,Calorimeter Top Contact,1.0,4117.430,5791.820,-16.809,0.0,0.0,2.3745222,1.8284013,-0.5461209,26.0,0.779460372751,0,0,0.0,0.0,0,0,58.0,1.73879619962,2,2,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,5.478000e-09,0,0,0
0,6746,Calorimeter Top Contact,1.0,-5136.184,4954.813,15.510,0.0,0.0,2.2272901,2.2273113,0.0000213,0.0,0.0,0,0,18.0,0.539626410198,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,6.746000e-09,0,0,0
0,5862,Calorimeter Contact,1.0,-3465.864,6202.206,5.960,-0.072148515964,0.0077253550878,1.9065702,1.9065960,0.0000258,0.0,0.0,0,0,19.0,0.569605649742,0,0,50.0,1.49896223616,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,5.862000e-09,1.66336112071,1.57177337617,1.42854729847
0,4251,Calorimeter Contact,1.0,5821.554,-4026.371,8.370,-0.0910205334966,0.00811593914051,2.0194771,2.0194891,0.0000120,33.0,0.989315079729,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,4.251000e-09,1.62303084561,1.57058755974,1.46892958195
0,11597,Calorimeter Contact,1.0,3359.885,-6285.238,4.777,-0.0196738776052,0.00588164575344,2.4700505,2.4700745,0.0000240,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,1.159700e-08,1.63576086756,1.57108488619,1.45618379684
0,8650,Calorimeter Contact,1.0,2548.847,-6638.375,4.253,-0.0230988524234,0.00552802385837,2.2824727,2.2824898,0.0000171,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,8.650000e-09,1.65028385851,1.5712754359,1.44164254655
0,4969,Calorimeter Top Contact,1.0,-6503.888,-2900.975,-2.216,0.0,0.0,1.8840837,1.3180422,-0.5660415,0.0,0.0,0,0,16.0,0.479667910557,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,4.969000e-09,0,0,0
0,5143,Calorimeter Top Contact,1.0,6330.077,3248.089,-1.184,0.0,0.0,2.0113039,1.3014959,-0.7098080,0.0,0.0,0,0,19.0,0.569605643758,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,5.143000e-09,0,0,0
0,7129,Calorimeter Contact,1.0,5228.609,-4832.484,25.841,0.0019118215225,0.0227458511646,1.8731570,1.8731620,0.0000050,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,7.129000e-09,1.71411955435,1.56930386517,1.37772310953
0,11164,Calorimeter Contact,1.0,3853.192,5960.470,12.272,-0.0719107409491,0.0155149811709,2.6433718,2.6433952,0.0000235,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,1.116400e-08,1.59190446542,1.5716997317,1.50012020237
0,8938,Calorimeter Contact,1.0,-7069.226,-825.599,24.116,-0.0774753408412,0.0259901484346,2.4713448,2.4713448,-0.0000000,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,8.938000e-09,1.61325184329,1.57149572971,1.478721573
