Photon #,Steps,Kill Event,Starting Global x-Position,Starting Global y-Position,Starting Global z-Position,Ending Calorimeter x-Position (mm),Ending Calorimeter y-Position (mm),Energy (GeV),Steps Inside Matter,Distance Inside Matter (cm),dt,Kill Timestamp,x Calorimeter Angle,y Calorimeter Angle,Total Calorimeter Angle
0,7656,Heading Out,6.90455023885,1.48156692716,-0.0126198573405,0.0,0.0,0.219971550583,14,0.004197094412,1e-12,1.1065e-08,0,0,0
0,8417,Heading Out,-2.01002543841,6.7697103619,-0.0185412072319,0.0,0.0,0.306807361096,13,0.003897301954,1e-12,1.4066e-08,0,0,0
0,7518,Heading Out,6.6375059748,2.41031157881,-0.0229842638589,0.0,0.0,0.307292176961,41,0.012291490778,1e-12,1.4437e-08,0,0,0
0,1116,Calorimeter Contact,2.14060371654,-6.70058473442,0.000144099854975,-0.0827434970001,-3.47016273468e-05,0.139460538746,51,0.015289415358,1e-12,5.573e-09,1.59914563527,1.57026191245,1.49284787289
1,1114,Calorimeter Contact,2.14001422361,-6.70069427901,0.000143779422225,-0.0826918593093,-3.4701627332e-05,0.285053921038,49,0.014689830442,1e-12,5.573e-09,1.59930088913,1.57026191252,1.49269236055
2,1083,Calorimeter Contact,2.13087449905,-6.70237823613,0.000138812714714,-0.0817427905148,-3.47016270008e-05,0.105133850895,17,0.005096471786,1e-12,5.573e-09,1.60219757413,1.57026191402,1.48979105509
0,6690,Heading Out,1.44137761954,-6.88398629461,-0.0204757419643,0.0,0.0,0.0503344391212,102,0.030578830716,1e-12,5.2208e-08,0,0,0
1,6691,Heading Out,1.42053381462,-6.88829880666,-0.020488208964,0.0,0.0,1.51253781189,31,0.009293566198,1e-12,5.228e-08,0,0,0
0,7780,Heading Out,-4.76185028235,-5.21445377914,-0.0055615462248,0.0,0.0,1.68579123559,33,0.009893151114,1e-12,1.2979e-08,0,0,0
0,7776,Heading Out,4.64671213756,-5.31731511072,0.0038427400886,0.0,0.0,1.08637042218,51,0.015289415358,1e-12,1.6143e-08,0,0,0
1,7782,Heading Out,4.64576645043,-5.31805245634,0.00384041506359,0.0,0.0,0.133549938111,48,0.014390037984,1e-12,1.6153e-08,0,0,0
0,6373,Heading Out,-5.64751404003,4.2393218105,-0.00717929455193,0.0,0.0,0.0429108005695,296,0.088738567568,1e-12,1.45957e-07,0,0,0
